,missing_pct
id_24,99.2
id_25,99.13
id_07,99.13
id_08,99.13
id_21,99.13
id_26,99.13
id_27,99.12
id_23,99.12
id_22,99.12
dist2,93.63
D7,93.41
id_18,92.36
D13,89.51
D14,89.47
D12,89.04
id_03,88.77
id_04,88.77
D6,87.61
id_33,87.59
id_10,87.31
id_09,87.31
D9,87.31
D8,87.31
id_30,86.87
id_32,86.86
id_34,86.82
id_14,86.45
V142,86.12
V158,86.12
V140,86.12
V162,86.12
V141,86.12
V161,86.12
V157,86.12
V146,86.12
V156,86.12
V155,86.12
V154,86.12
V153,86.12
V149,86.12
V147,86.12
V148,86.12
V163,86.12
V139,86.12
V138,86.12
V160,86.12
V151,86.12
V152,86.12
V145,86.12
V144,86.12
V143,86.12
V159,86.12
V164,86.12
V165,86.12
V166,86.12
V150,86.12
V337,86.05
V333,86.05
V336,86.05
V335,86.05
V334,86.05
V338,86.05
V339,86.05
V324,86.05
V332,86.05
V325,86.05
V330,86.05
V329,86.05
V328,86.05
V327,86.05
V326,86.05
V322,86.05
V323,86.05
V331,86.05
DeviceInfo,79.91
id_13,78.44
id_16,78.1
V278,77.91
V277,77.91
V252,77.91
V253,77.91
V254,77.91
V257,77.91
V258,77.91
V242,77.91
V261,77.91
V262,77.91
V263,77.91
V264,77.91
V249,77.91
V266,77.91
V267,77.91
V268,77.91
V269,77.91
V273,77.91
V274,77.91
V275,77.91
V276,77.91
V265,77.91
V260,77.91
V247,77.91
V246,77.91
V240,77.91
V237,77.91
V236,77.91
V235,77.91
V233,77.91
V232,77.91
V231,77.91
V230,77.91
V229,77.91
V228,77.91
V226,77.91
V225,77.91
V224,77.91
V223,77.91
V219,77.91
V218,77.91
V217,77.91
V243,77.91
V244,77.91
V248,77.91
V241,77.91
id_05,76.82
id_06,76.82
R_emaildomain,76.75
id_20,76.42
id_19,76.41
id_17,76.4
V212,76.36
V211,76.36
V214,76.36
V213,76.36
V196,76.36
V205,76.36
V183,76.36
V216,76.36
V206,76.36
V186,76.36
V187,76.36
V192,76.36
V207,76.36
V215,76.36
V181,76.36
V182,76.36
V191,76.36
V167,76.36
V168,76.36
V199,76.36
V193,76.36
V172,76.36
V173,76.36
V202,76.36
V203,76.36
V176,76.36
V177,76.36
V178,76.36
V179,76.36
V204,76.36
V190,76.36
V194,76.32
V200,76.32
V189,76.32
V188,76.32
V185,76.32
V184,76.32
V180,76.32
V175,76.32
V174,76.32
V171,76.32
V170,76.32
V169,76.32
V195,76.32
V201,76.32
V197,76.32
V198,76.32
V209,76.32
V208,76.32
V210,76.32
id_31,76.25
DeviceType,76.16
id_02,76.15
id_29,76.13
id_11,76.13
id_28,76.13
id_37,76.13
id_36,76.13
id_15,76.13
id_35,76.13
id_38,76.13
V245,76.05
V271,76.05
V234,76.05
V222,76.05
V238,76.05
V239,76.05
V227,76.05
V250,76.05
V272,76.05
V270,76.05
V251,76.05
V220,76.05
V255,76.05
V256,76.05
V259,76.05
V221,76.05
id_01,75.58
id_12,75.58
dist1,59.65
M5,59.35
M7,58.64
M9,58.63
M8,58.63
D5,52.47
M4,47.66
D2,47.55
V3,47.29
V9,47.29
V5,47.29
V11,47.29
V10,47.29
V8,47.29
V7,47.29
D11,47.29
V6,47.29
V4,47.29
V2,47.29
V1,47.29
M2,45.91
M3,45.91
M1,45.91
D3,44.51
M6,28.68
V35,28.61
V40,28.61
V41,28.61
V39,28.61
V38,28.61
V51,28.61
V37,28.61
V52,28.61
V36,28.61
V50,28.61
V48,28.61
V42,28.61
V43,28.61
V44,28.61
V46,28.61
V47,28.61
V45,28.61
V49,28.61
D4,28.6
P_emaildomain,15.99
V80,15.1
V87,15.1
V88,15.1
V89,15.1
V90,15.1
V91,15.1
V92,15.1
V93,15.1
V94,15.1
V86,15.1
V79,15.1
V85,15.1
V75,15.1
V84,15.1
V77,15.1
V83,15.1
V78,15.1
V82,15.1
V81,15.1
V76,15.1
D15,15.09
V72,13.06
V74,13.06
V73,13.06
V71,13.06
V65,13.06
V68,13.06
V58,13.06
V70,13.06
V53,13.06
V54,13.06
V55,13.06
V56,13.06
V57,13.06
V59,13.06
V67,13.06
V60,13.06
V61,13.06
V62,13.06
V63,13.06
V64,13.06
V66,13.06
V69,13.06
V21,12.88
V22,12.88
V23,12.88
V34,12.88
V33,12.88
V32,12.88
V31,12.88
V30,12.88
V29,12.88
V28,12.88
V27,12.88
V25,12.88
V24,12.88
V26,12.88
V16,12.88
V15,12.88
V20,12.88
V14,12.88
V19,12.88
V18,12.88
V17,12.88
V12,12.88
V13,12.88
D10,12.87
addr1,11.13
addr2,11.13
card2,1.51
card5,0.72
card4,0.27
card6,0.27
card3,0.27
V296,0.21
V289,0.21
V288,0.21
V283,0.21
V282,0.21
V281,0.21
V300,0.21
V301,0.21
V313,0.21
V314,0.21
V315,0.21
D1,0.21
V104,0.05
V109,0.05
V110,0.05
V111,0.05
V112,0.05
V106,0.05
V105,0.05
V102,0.05
V103,0.05
V96,0.05
V101,0.05
V100,0.05
V99,0.05
V98,0.05
V97,0.05
V95,0.05
V135,0.05
V134,0.05
V107,0.05
V133,0.05
V132,0.05
V131,0.05
V130,0.05
V129,0.05
V128,0.05
V127,0.05
V126,0.05
V125,0.05
V124,0.05
V123,0.05
V122,0.05
V121,0.05
V120,0.05
V119,0.05
V118,0.05
V117,0.05
V116,0.05
V115,0.05
V114,0.05
V113,0.05
V136,0.05
V137,0.05
V108,0.05
V311,0.0
V321,0.0
V294,0.0
V306,0.0
V305,0.0
V304,0.0
V303,0.0
V302,0.0
V299,0.0
V298,0.0
V297,0.0
V295,0.0
V293,0.0
V308,0.0
V292,0.0
V291,0.0
V290,0.0
V287,0.0
V286,0.0
V285,0.0
V284,0.0
V280,0.0
V279,0.0
V320,0.0
V307,0.0
V309,0.0
V312,0.0
V316,0.0
V317,0.0
V318,0.0
V319,0.0
V310,0.0
C9,0.0
C14,0.0
C13,0.0
C12,0.0
C11,0.0
C10,0.0
TransactionDT,0.0
TransactionAmt,0.0
ProductCD,0.0
C6,0.0
card1,0.0
C8,0.0
C7,0.0
C5,0.0
C4,0.0
C3,0.0
C2,0.0
C1,0.0
isFraud,0.0
TransactionID,0.0
